battle_id,player_1_deck,player_1_elixir,player_1_trophies,player_1_crowns,player_2_deck,player_2_elixir,player_2_trophies,player_2_crowns,winner,battle_duration_sec,game_mode,trophy_difference,battle_intensity,match_type
1,Mini PEKKA|Fire Spirit|Royal Champion|Valkyrie|Cannon|Goblin Barrel|Lightning|Bandit,4.0,2453,2,Lumberjack|Balloon|Goblin Gang|Ice Golem|Hunter|Minions|Tesla|Elite Barbarians,3.88,6238,3,player_2,115,Tournament,3785,5,Heavy Mismatch
2,PEKKA|Fisherman|Cannon Cart|Royal Champion|Minion Horde|Skeleton King|Royal Giant|Mega Knight,5.5,2413,3,Fireball|Battle Healer|Skeleton Barrel|Earthquake|Magic Archer|Mother Witch|Knight|Skeletons,3.25,6291,0,player_1,285,Ladder,3878,3,Heavy Mismatch
3,Electro Wizard|Mortar|Freeze|Royal Recruits|Barbarians|Rascals|Lumberjack|Baby Dragon,4.62,5995,3,Archers|Battle Healer|Lava Hound|Archer Queen|Elite Barbarians|Mega Minion|Royal Giant|Bomb Tower,4.75,3001,1,player_1,124,Challenge,2994,4,Heavy Mismatch
4,X-Bow|Musketeer|Elixir Golem|Bowler|Freeze|Royal Giant|Fire Spirit|Giant,4.38,3461,1,Archers|Miner|Mortar|Flying Machine|Wall Breakers|Knight|Battle Healer|Fireball,3.44,6225,2,player_2,224,Challenge,2764,3,Heavy Mismatch
5,Hog Rider|Giant|Minions|Baby Dragon|Furnace|Goblins|Flying Machine|Three Musketeers,4.33,6879,0,Balloon|Ice Wizard|Skeleton Army|Witch|Magic Archer|Electro Wizard|Wall Breakers|Skeletons,3.38,5152,1,player_2,269,Ladder,1727,1,Heavy Mismatch
6,Mini PEKKA|Rocket|Fisherman|Zappies|Wizard|Cannon Cart|Mortar|Goblinstein,4.5,2985,1,Elite Barbarians|Royal Delivery|Giant Skeleton|Mother Witch|Inferno Tower|Tombstone|Battle Healer|Goblin Barrel,4.25,6111,1,draw,68,Tournament,3126,2,Heavy Mismatch
7,Fire Spirit|Hunter|Hog Rider|Bowler|Clone|Little Prince|Musketeer|Mega Minion,3.5,5597,3,Inferno Tower|Fisherman|Little Prince|X-Bow|Mighty Miner|Poison|Bomb Tower|Prince,4.25,4986,1,player_1,87,Challenge,611,4,Heavy Mismatch
8,Bomb Tower|Mirror|Knight|The Log|Tombstone|Poison|Goblin Hut|Hog Rider,3.25,2879,2,Minions|Tesla|Knight|Royal Recruits|Princess|Elite Barbarians|Dark Prince|Miner,4.12,5374,3,player_2,193,Tournament,2495,5,Heavy Mismatch
9,Goblin Cage|Archers|Phoenix|Clone|Zap|Giant Skeleton|Mini PEKKA|The Log,3.5,4343,1,Royal Delivery|Rocket|Spear Goblins|Valkyrie|Electro Wizard|Tombstone|Bomber|Three Musketeers,4.25,6964,0,player_1,266,Tournament,2621,1,Heavy Mismatch
10,Cannon Cart|Skeleton King|Skeletons|Wall Breakers|Mega Knight|Wizard|Ice Spirit|Spear Goblins,3.38,2443,2,Mirror|Elixir Golem|Electro Wizard|Princess|Archers|Musketeer|Earthquake|Mega Minion,3.0,2733,0,player_1,112,Tournament,290,2,Slight Mismatch
11,Ram Rider|Three Musketeers|Archers|Lightning|Phoenix|Bandit|Fisherman|Skeleton Barrel,4.5,5868,3,Graveyard|Lava Hound|Hunter|Tombstone|Skeleton Barrel|Bowler|Skeletons|The Log,3.75,4301,2,player_1,118,Ladder,1567,5,Heavy Mismatch
12,Mighty Miner|Fire Spirit|Phoenix|Dark Prince|Goblins|Freeze|Bomb Tower|Ice Spirit,3.12,4171,3,Musketeer|Royal Hogs|Mirror|Heal Spirit|Hunter|Skeleton King|Tombstone|Rocket,3.5,3545,1,player_1,283,Ladder,626,4,Heavy Mismatch
13,Clone|Mega Minion|Prince|Little Prince|Battle Healer|Earthquake|Wall Breakers|Three Musketeers,4.0,6566,0,Tesla|Furnace|Freeze|Royal Giant|Little Prince|Royal Champion|Mini PEKKA|Goblin Gang,4.38,6267,0,draw,140,Tournament,299,0,Slight Mismatch
14,Poison|Ice Spirit|Inferno Dragon|Fisherman|Elixir Collector|Valkyrie|Fire Spirit|Firecracker,3.38,4408,3,Mother Witch|Furnace|Phoenix|Skeleton King|Rascals|Royal Recruits|Spear Goblins|Dark Prince,4.25,2361,2,player_1,274,Friendly,2047,5,Heavy Mismatch
15,Mortar|Mega Knight|Rocket|Royal Delivery|Mighty Miner|Archer Queen|Spear Goblins|Balloon,4.5,6151,3,Royal Recruits|Rocket|Wizard|Dark Prince|Miner|Cannon|Magic Archer|Witch,4.62,2600,3,draw,113,Ladder,3551,6,Heavy Mismatch
16,Goblins|Royal Recruits|Wizard|Phoenix|Tesla|Goblinstein|Fireball|The Log,4.12,4317,0,Knight|Skeletons|Graveyard|Tornado|Skeleton Barrel|Goblin Gang|Freeze|Electro Wizard,3.25,3823,1,player_2,119,Friendly,494,1,Slight Mismatch
17,Skeleton King|Barbarians|Royal Recruits|Earthquake|Bowler|Elixir Collector|Magic Archer|Goblin Hut,4.88,5649,1,Sparky|Goblin Cage|Firecracker|Inferno Tower|Dark Prince|Cannon Cart|Minions|Barbarians,4.38,6728,2,player_2,276,Friendly,1079,3,Heavy Mismatch
18,Lumberjack|Ice Wizard|X-Bow|Night Witch|Prince|Skeleton Army|Tornado|Elixir Collector,4.25,5902,2,Fisherman|Ice Wizard|Freeze|Battle Healer|Wall Breakers|Mother Witch|Archers|Bandit,3.25,4212,0,player_1,299,Tournament,1690,2,Heavy Mismatch
19,Tombstone|Royal Giant|Ice Golem|Fisherman|Freeze|Skeletons|Musketeer|Bomb Tower,3.38,3244,2,Mini PEKKA|Flying Machine|Fireball|Baby Dragon|Minion Horde|Goblinstein|Mother Witch|Royal Delivery,4.11,2733,3,player_2,180,Friendly,511,5,Heavy Mismatch
20,The Log|X-Bow|Ice Wizard|Monk|Arrows|Lightning|Goblin Hut|Poison,4.25,2768,2,Goblin Hut|Balloon|Magic Archer|Goblin Barrel|Mother Witch|Inferno Dragon|Heal Spirit|Knight,3.62,5692,3,player_2,80,Friendly,2924,5,Heavy Mismatch
21,Goblin Hut|Hunter|Earthquake|Cannon Cart|Bomb Tower|Tornado|Mother Witch|Mega Knight,4.38,6273,0,Firecracker|Freeze|Giant Skeleton|Balloon|Cannon Cart|Mirror|Magic Archer|Inferno Dragon,4.0,3851,0,draw,205,Friendly,2422,0,Heavy Mismatch
22,Lumberjack|Royal Champion|PEKKA|Tombstone|Mini PEKKA|Wizard|Tesla|Flying Machine,4.67,6343,0,Fisherman|Ice Golem|Mirror|Miner|Three Musketeers|Poison|Princess|Archers,3.5,4597,2,player_2,85,Tournament,1746,2,Heavy Mismatch
